Country,Survey Questions,Survey Responses,Number of Records,Total,Fit Mean,Country Records,Two Sigma (Positive),Two Sigma (Negative),Three Sigma (Positive),Three Sigma (Negative),Percentage
France,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,572,34026,23.80%,3069,25.31%,22.29%,26.11%,21.49%,18.64%
Finland,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,508,34026,23.80%,2013,25.66%,21.94%,26.65%,20.95%,25.24%
Denmark,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,509,34026,23.80%,2001,25.67%,21.93%,26.66%,20.94%,25.44%
Canada,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,465,34026,23.80%,1971,25.68%,21.92%,26.68%,20.92%,23.59%
Australia,I am worried about potential side effects of a Covid-19 vaccine,3 - Neutral,483,34026,23.80%,1925,25.70%,21.90%,26.71%,20.89%,25.09%
United Kingdom,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,442,34026,19.88%,3004,21.31%,18.45%,22.07%,17.70%,14.71%
Sweden,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,508,34026,19.88%,3005,21.31%,18.45%,22.07%,17.70%,16.91%
Spain,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,584,34026,19.88%,3008,21.31%,18.46%,22.06%,17.70%,19.41%
South Korea,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,288,34026,19.88%,978,22.38%,17.38%,23.71%,16.05%,29.45%
Singapore,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,568,34026,19.88%,1961,21.65%,18.12%,22.59%,17.18%,28.96%
Norway,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,593,34026,19.88%,3005,21.31%,18.45%,22.07%,17.70%,19.73%
Netherlands,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,307,34026,19.88%,1521,21.89%,17.88%,22.95%,16.81%,20.18%
Japan,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,467,34026,19.88%,1502,21.90%,17.86%,22.97%,16.79%,31.09%
Italy,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,531,34026,19.88%,3004,21.31%,18.45%,22.07%,17.70%,17.68%
Germany,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,411,34026,19.88%,2059,21.61%,18.16%,22.52%,17.24%,19.96%
France,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,532,34026,19.88%,3069,21.29%,18.47%,22.04%,17.72%,17.33%
Finland,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,445,34026,19.88%,2013,21.63%,18.14%,22.55%,17.21%,22.11%
Denmark,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,361,34026,19.88%,2001,21.63%,18.13%,22.56%,17.21%,18.04%
Canada,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,330,34026,19.88%,1971,21.64%,18.12%,22.58%,17.18%,16.74%
Australia,I am worried about potential side effects of a Covid-19 vaccine,2 - Agree,398,34026,19.88%,1925,21.66%,18.10%,22.61%,17.15%,20.68%
United Kingdom,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,428,34026,27.64%,3004,29.24%,26.04%,30.09%,25.19%,14.25%
Sweden,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,781,34026,27.64%,3005,29.24%,26.04%,30.09%,25.19%,25.99%
Spain,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,1096,34026,27.64%,3008,29.24%,26.04%,30.09%,25.19%,36.44%
South Korea,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,240,34026,27.64%,978,30.44%,24.84%,31.93%,23.35%,24.54%
Singapore,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,701,34026,27.64%,1961,29.62%,25.66%,30.67%,24.61%,35.75%
Norway,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,725,34026,27.64%,3005,29.24%,26.04%,30.09%,25.19%,24.13%
Netherlands,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,303,34026,27.64%,1521,29.89%,25.39%,31.08%,24.20%,19.92%
Japan,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,530,34026,27.64%,1502,29.90%,25.38%,31.10%,24.18%,35.29%
Italy,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,706,34026,27.64%,3004,29.24%,26.04%,30.09%,25.19%,23.50%
Germany,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,648,34026,27.64%,2059,29.57%,25.71%,30.60%,24.68%,31.47%
France,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,1260,34026,27.64%,3069,29.22%,26.06%,30.06%,25.22%,41.06%
Finland,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,473,34026,27.64%,2013,29.59%,25.69%,30.63%,24.65%,23.50%
Denmark,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,331,34026,27.64%,2001,29.60%,25.68%,30.64%,24.64%,16.54%
Canada,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,635,34026,27.64%,1971,29.62%,25.67%,30.66%,24.62%,32.22%
Australia,I am worried about potential side effects of a Covid-19 vaccine,1 - Strongly agree,548,34026,27.64%,1925,29.64%,25.64%,30.70%,24.58%,28.47%
United Kingdom,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,137,34026,7.53%,3004,8.47%,6.58%,8.97%,6.08%,4.56%
Sweden,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,232,34026,7.53%,3005,8.47%,6.58%,8.97%,6.08%,7.72%
Spain,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,259,34026,7.53%,3008,8.47%,6.58%,8.97%,6.08%,8.61%
South Korea,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,56,34026,7.53%,978,9.18%,5.87%,10.06%,5.00%,5.73%
Singapore,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,65,34026,7.53%,1961,8.69%,6.36%,9.31%,5.74%,3.31%
Norway,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,222,34026,7.53%,3005,8.47%,6.58%,8.97%,6.08%,7.39%
Netherlands,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,105,34026,7.53%,1521,8.85%,6.20%,9.56%,5.50%,6.90%
Japan,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,97,34026,7.53%,1502,8.86%,6.19%,9.57%,5.48%,6.46%
Italy,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,232,34026,7.53%,3004,8.47%,6.58%,8.97%,6.08%,7.72%
Germany,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,187,34026,7.53%,2059,8.67%,6.39%,9.27%,5.78%,9.08%
France,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,434,34026,7.53%,3069,8.46%,6.59%,8.96%,6.10%,14.14%
Finland,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,137,34026,7.53%,2013,8.68%,6.37%,9.29%,5.76%,6.81%
Denmark,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,93,34026,7.53%,2001,8.68%,6.37%,9.30%,5.76%,4.65%
Canada,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,175,34026,7.53%,1971,8.69%,6.36%,9.31%,5.74%,8.88%
Australia,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,5 - Strongly disagree,130,34026,7.53%,1925,8.71%,6.35%,9.33%,5.72%,6.75%
United Kingdom,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,192,34026,9.30%,3004,10.34%,8.27%,10.89%,7.71%,6.39%
Sweden,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,311,34026,9.30%,3005,10.34%,8.27%,10.89%,7.71%,10.35%
Spain,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,286,34026,9.30%,3008,10.34%,8.27%,10.89%,7.72%,9.51%
South Korea,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,119,34026,9.30%,978,11.13%,7.48%,12.09%,6.52%,12.17%
Singapore,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,127,34026,9.30%,1961,10.59%,8.02%,11.27%,7.34%,6.48%
Norway,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,285,34026,9.30%,3005,10.34%,8.27%,10.89%,7.71%,9.48%
Netherlands,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,142,34026,9.30%,1521,10.76%,7.84%,11.54%,7.07%,9.34%
Japan,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,111,34026,9.30%,1502,10.77%,7.84%,11.55%,7.06%,7.39%
Italy,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,294,34026,9.30%,3004,10.34%,8.27%,10.89%,7.71%,9.79%
Germany,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,146,34026,9.30%,2059,10.56%,8.05%,11.23%,7.38%,7.09%
France,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,443,34026,9.30%,3069,10.33%,8.28%,10.88%,7.73%,14.43%
Finland,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,241,34026,9.30%,2013,10.57%,8.04%,11.25%,7.36%,11.97%
Denmark,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,119,34026,9.30%,2001,10.58%,8.03%,11.25%,7.36%,5.95%
Canada,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,183,34026,9.30%,1971,10.59%,8.02%,11.27%,7.34%,9.28%
Australia,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,4 - Disagree,167,34026,9.30%,1925,10.60%,8.01%,11.29%,7.32%,8.68%
United Kingdom,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,609,34026,26.75%,3004,28.33%,25.16%,29.17%,24.32%,20.27%
Sweden,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,851,34026,26.75%,3005,28.33%,25.16%,29.17%,24.32%,28.32%
Spain,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,839,34026,26.75%,3008,28.33%,25.17%,29.17%,24.33%,27.89%
South Korea,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,301,34026,26.75%,978,29.52%,23.97%,30.99%,22.50%,30.78%
Singapore,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,575,34026,26.75%,1961,28.71%,24.79%,29.75%,23.75%,29.32%
Norway,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,699,34026,26.75%,3005,28.33%,25.16%,29.17%,24.32%,23.26%
Netherlands,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,419,34026,26.75%,1521,28.97%,24.52%,30.15%,23.34%,27.55%
Japan,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,587,34026,26.75%,1502,28.99%,24.51%,30.17%,23.32%,39.08%
Italy,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,833,34026,26.75%,3004,28.33%,25.16%,29.17%,24.32%,27.73%
Germany,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,568,34026,26.75%,2059,28.66%,24.84%,29.67%,23.82%,27.59%
France,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,967,34026,26.75%,3069,28.31%,25.18%,29.14%,24.35%,31.51%
Finland,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,519,34026,26.75%,2013,28.68%,24.81%,29.71%,23.79%,25.78%
Denmark,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,346,34026,26.75%,2001,28.69%,24.81%,29.72%,23.78%,17.29%
Canada,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,457,34026,26.75%,1971,28.70%,24.79%,29.74%,23.76%,23.19%
Australia,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,3 - Neutral,531,34026,26.75%,1925,28.72%,24.77%,29.77%,23.72%,27.58%
United Kingdom,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,924,34026,25.70%,3004,27.27%,24.14%,28.10%,23.31%,30.76%
Sweden,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,698,34026,25.70%,3005,27.27%,24.14%,28.10%,23.31%,23.23%
Spain,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,706,34026,25.70%,3008,27.27%,24.14%,28.09%,23.31%,23.47%
South Korea,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,276,34026,25.70%,978,28.44%,22.97%,29.90%,21.51%,28.22%
Singapore,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,669,34026,25.70%,1961,27.64%,23.77%,28.66%,22.74%,34.12%
Norway,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,708,34026,25.70%,3005,27.27%,24.14%,28.10%,23.31%,23.56%
Netherlands,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,392,34026,25.70%,1521,27.90%,23.51%,29.07%,22.34%,25.77%
Japan,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,467,34026,25.70%,1502,27.91%,23.49%,29.09%,22.32%,31.09%
Italy,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,729,34026,25.70%,3004,27.27%,24.14%,28.10%,23.31%,24.27%
Germany,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,581,34026,25.70%,2059,27.59%,23.82%,28.59%,22.81%,28.22%
France,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,582,34026,25.70%,3069,27.25%,24.16%,28.07%,23.34%,18.96%
Finland,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,597,34026,25.70%,2013,27.61%,23.79%,28.63%,22.78%,29.66%
Denmark,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,409,34026,25.70%,2001,27.62%,23.79%,28.63%,22.77%,20.44%
Canada,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,474,34026,25.70%,1971,27.63%,23.77%,28.66%,22.75%,24.05%
Australia,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,2 - Agree,534,34026,25.70%,1925,27.66%,23.75%,28.69%,22.72%,27.74%
United Kingdom,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,1142,34026,30.72%,3004,32.37%,29.07%,33.24%,28.19%,38.02%
Sweden,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,913,34026,30.72%,3005,32.37%,29.07%,33.24%,28.19%,30.38%
Spain,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,918,34026,30.72%,3008,32.37%,29.07%,33.24%,28.19%,30.52%
South Korea,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,226,34026,30.72%,978,33.61%,27.83%,35.14%,26.29%,23.11%
Singapore,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,525,34026,30.72%,1961,32.76%,28.68%,33.84%,27.59%,26.77%
Norway,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,1091,34026,30.72%,3005,32.37%,29.07%,33.24%,28.19%,36.31%
Netherlands,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,463,34026,30.72%,1521,33.04%,28.40%,34.27%,27.17%,30.44%
Japan,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,240,34026,30.72%,1502,33.05%,28.38%,34.29%,27.15%,15.98%
Italy,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,916,34026,30.72%,3004,32.37%,29.07%,33.24%,28.19%,30.49%
Germany,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,577,34026,30.72%,2059,32.71%,28.73%,33.77%,27.67%,28.02%
France,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,643,34026,30.72%,3069,32.35%,29.09%,33.22%,28.22%,20.95%
Finland,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,519,34026,30.72%,2013,32.73%,28.70%,33.80%,27.63%,25.78%
Denmark,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,1034,34026,30.72%,2001,32.74%,28.70%,33.81%,27.62%,51.67%
Canada,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,682,34026,30.72%,1971,32.75%,28.68%,33.84%,27.60%,34.60%
Australia,I believe government health authorities in my country will provide me with an effective Covid-19 vaccine,1 - Strongly agree,563,34026,30.72%,1925,32.78%,28.66%,33.87%,27.56%,29.25%
United Kingdom,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,249,34026,14.72%,3004,15.99%,13.45%,16.66%,12.78%,8.29%
Sweden,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,423,34026,14.72%,3005,15.99%,13.45%,16.66%,12.78%,14.08%
Spain,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,536,34026,14.72%,3008,15.99%,13.45%,16.66%,12.78%,17.82%
South Korea,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,54,34026,14.72%,978,16.94%,12.50%,18.12%,11.32%,5.52%
Singapore,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,224,34026,14.72%,1961,16.29%,13.15%,17.12%,12.32%,11.42%
Norway,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,386,34026,14.72%,3005,15.99%,13.45%,16.66%,12.78%,12.85%
Netherlands,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,178,34026,14.72%,1521,16.50%,12.94%,17.45%,12.00%,11.70%
Japan,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,108,34026,14.72%,1502,16.51%,12.93%,17.46%,11.98%,7.19%
Italy,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,473,34026,14.72%,3004,15.99%,13.45%,16.66%,12.78%,15.75%
Germany,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,433,34026,14.72%,2059,16.25%,13.19%,17.06%,12.38%,21.03%
France,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,918,34026,14.72%,3069,15.97%,13.47%,16.64%,12.80%,29.91%
Finland,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,259,34026,14.72%,2013,16.27%,13.17%,17.09%,12.35%,12.87%
Denmark,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,164,34026,14.72%,2001,16.27%,13.17%,17.10%,12.34%,8.20%
Canada,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,353,34026,14.72%,1971,16.29%,13.16%,17.12%,12.33%,17.91%
Australia,"If I do not get a Covid-19 vaccine when it is available, I will regret it",5 - Strongly disagree,251,34026,14.72%,1925,16.30%,13.14%,17.14%,12.30%,13.04%
United Kingdom,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,182,34026,9.59%,3004,10.64%,8.54%,11.20%,7.98%,6.06%
Sweden,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,265,34026,9.59%,3005,10.64%,8.54%,11.20%,7.98%,8.82%
Spain,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,288,34026,9.59%,3008,10.64%,8.54%,11.20%,7.98%,9.57%
South Korea,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,135,34026,9.59%,978,11.44%,7.74%,12.41%,6.77%,13.80%
Singapore,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,286,34026,9.59%,1961,10.89%,8.29%,11.58%,7.59%,14.58%
Norway,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,270,34026,9.59%,3005,10.64%,8.54%,11.20%,7.98%,8.99%
Netherlands,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,170,34026,9.59%,1521,11.07%,8.11%,11.85%,7.32%,11.18%
Japan,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,129,34026,9.59%,1502,11.08%,8.10%,11.87%,7.31%,8.59%
Italy,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,274,34026,9.59%,3004,10.64%,8.54%,11.20%,7.98%,9.12%
Germany,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,161,34026,9.59%,2059,10.86%,8.32%,11.54%,7.64%,7.82%
France,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,355,34026,9.59%,3069,10.63%,8.55%,11.18%,8.00%,11.57%
Finland,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,227,34026,9.59%,2013,10.88%,8.30%,11.56%,7.62%,11.28%
Denmark,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,98,34026,9.59%,2001,10.88%,8.30%,11.56%,7.61%,4.90%
Canada,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,210,34026,9.59%,1971,10.89%,8.29%,11.58%,7.60%,10.65%
Australia,"If I do not get a Covid-19 vaccine when it is available, I will regret it",4 - Disagree,213,34026,9.59%,1925,10.91%,8.27%,11.60%,7.58%,11.06%
United Kingdom,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,456,34026,24.75%,3004,26.29%,23.21%,27.11%,22.39%,15.18%
Sweden,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,708,34026,24.75%,3005,26.29%,23.21%,27.11%,22.39%,23.56%
Spain,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,716,34026,24.75%,3008,26.29%,23.21%,27.11%,22.39%,23.80%
South Korea,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,322,34026,24.75%,978,27.45%,22.04%,28.89%,20.61%,32.92%
Singapore,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,791,34026,24.75%,1961,26.66%,22.84%,27.67%,21.83%,40.34%
Norway,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,705,34026,24.75%,3005,26.29%,23.21%,27.11%,22.39%,23.46%
Netherlands,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,365,34026,24.75%,1521,26.92%,22.58%,28.07%,21.43%,24.00%
Japan,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,624,34026,24.75%,1502,26.93%,22.57%,28.09%,21.41%,41.54%
Italy,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,702,34026,24.75%,3004,26.29%,23.21%,27.11%,22.39%,23.37%
Germany,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,483,34026,24.75%,2059,26.61%,22.88%,27.60%,21.90%,23.46%
France,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,716,34026,24.75%,3069,26.28%,23.22%,27.09%,22.41%,23.33%
Finland,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,491,34026,24.75%,2013,26.63%,22.86%,27.63%,21.86%,24.39%
Denmark,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,369,34026,24.75%,2001,26.64%,22.86%,27.64%,21.85%,18.44%
Canada,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,410,34026,24.75%,1971,26.65%,22.84%,27.66%,21.83%,20.80%
Australia,"If I do not get a Covid-19 vaccine when it is available, I will regret it",3 - Neutral,563,34026,24.75%,1925,26.68%,22.82%,27.70%,21.80%,29.25%
United Kingdom,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,455,34026,15.49%,3004,16.78%,14.19%,17.47%,13.51%,15.15%
Sweden,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,413,34026,15.49%,3005,16.78%,14.19%,17.47%,13.51%,13.74%
Spain,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,422,34026,15.49%,3008,16.78%,14.19%,17.46%,13.51%,14.03%
South Korea,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,243,34026,15.49%,978,17.75%,13.22%,18.96%,12.01%,24.85%
Singapore,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,390,34026,15.49%,1961,17.09%,13.88%,17.94%,13.03%,19.89%
Norway,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,444,34026,15.49%,3005,16.78%,14.19%,17.47%,13.51%,14.78%
Netherlands,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,258,34026,15.49%,1521,17.30%,13.67%,18.27%,12.70%,16.96%
Japan,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,375,34026,15.49%,1502,17.31%,13.66%,18.29%,12.68%,24.97%
Italy,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,425,34026,15.49%,3004,16.78%,14.19%,17.47%,13.51%,14.15%
Germany,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,316,34026,15.49%,2059,17.05%,13.92%,17.88%,13.09%,15.35%
France,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,353,34026,15.49%,3069,16.77%,14.21%,17.44%,13.53%,11.50%
Finland,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,345,34026,15.49%,2013,17.07%,13.90%,17.90%,13.07%,17.14%
Denmark,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,256,34026,15.49%,2001,17.07%,13.90%,17.91%,13.06%,12.79%
Canada,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,251,34026,15.49%,1971,17.08%,13.89%,17.93%,13.04%,12.73%
Australia,"If I do not get a Covid-19 vaccine when it is available, I will regret it",2 - Agree,323,34026,15.49%,1925,17.10%,13.87%,17.96%,13.01%,16.78%
United Kingdom,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,1662,34026,35.46%,3004,37.17%,33.74%,38.07%,32.84%,55.33%
Sweden,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,1196,34026,35.46%,3005,37.17%,33.74%,38.07%,32.84%,39.80%
Spain,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,1046,34026,35.46%,3008,37.16%,33.75%,38.07%,32.84%,34.77%
South Korea,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,224,34026,35.46%,978,38.45%,32.46%,40.04%,30.87%,22.90%
Singapore,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,270,34026,35.46%,1961,37.57%,33.34%,38.70%,32.21%,13.77%
Norway,"If I do not get a Covid-19 vaccine when it is available, I will regret it",1 - Strongly agree,1200,34026,35.46%,3005,37.17%,33.74%,38.07%,32.84%,39.93%
